timestamp,temperature,outside_temperature,device_usage,energy_consumption
7/1/2025 0:00,23.75,39.26,0,2.95
7/1/2025 1:00,25.97,31.69,0,1.15
7/1/2025 2:00,28.66,34.02,1,3.21
7/1/2025 3:00,27.22,39.08,1,2.23
7/1/2025 4:00,23.04,32.87,1,2.34
7/1/2025 5:00,24,25.7,1,3.1
7/1/2025 6:00,27.85,28,0,3.46
7/1/2025 7:00,24.67,37.9,0,1.43
7/1/2025 8:00,20.65,39.23,1,3.49
7/1/2025 9:00,20.16,28.46,1,2.78
7/1/2025 10:00,24.95,25.52,1,2.75
7/1/2025 11:00,27.55,31.38,1,3.14
7/1/2025 12:00,29.7,36.63,1,3.88
7/1/2025 13:00,27.27,29.9,1,2.06
7/1/2025 14:00,23.25,30.83,1,3.73
7/1/2025 15:00,29.65,34.11,0,1.35
7/1/2025 16:00,28.02,26.12,0,2.06
7/1/2025 17:00,23.95,29.4,0,3.04
7/1/2025 18:00,27.07,35.94,0,2.51
7/1/2025 19:00,29.26,34.77,1,4.59
7/1/2025 20:00,23.31,25.95,0,2.67
7/1/2025 21:00,26.66,33.87,1,4.43
7/1/2025 22:00,21.2,35.7,0,2.8
7/1/2025 23:00,22.36,28.84,0,2.31
7/2/2025 0:00,24.28,25.38,0,1.5
7/2/2025 1:00,28.96,32.13,0,2.27
7/2/2025 2:00,29.08,28.74,0,2.35
7/2/2025 3:00,22.03,39.14,0,1.72
7/2/2025 4:00,21.61,38.95,0,1.74
7/2/2025 5:00,21.05,31.85,1,3.31
7/2/2025 6:00,25.39,37.11,1,3.75
7/2/2025 7:00,22.72,34.72,0,3.05
7/2/2025 8:00,28.61,25.1,1,3.56
7/2/2025 9:00,26.92,29.04,1,4.34
7/2/2025 10:00,25.19,35.55,0,1.16
7/2/2025 11:00,22.54,28.7,0,2.24
7/2/2025 12:00,23.01,29.27,0,1.67
7/2/2025 13:00,29.77,31.17,0,1.7
7/2/2025 14:00,29.08,28.59,1,3.5
7/2/2025 15:00,25.53,33.89,0,2.9
7/2/2025 16:00,22.38,35.92,1,4.15
7/2/2025 17:00,23.99,37.25,1,4.07
7/2/2025 18:00,21.87,25.61,1,2.65
7/2/2025 19:00,27.11,37.14,1,3.37
7/2/2025 20:00,26.91,30.8,1,4.61
7/2/2025 21:00,27.35,28.14,0,3.19
7/2/2025 22:00,22.58,34.9,1,4.73
7/2/2025 23:00,22.61,39.94,1,5.09
7/3/2025 0:00,26.33,30.09,0,2.75
7/3/2025 1:00,28.47,37.84,1,4.41
